time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.14880276891e-05,9.71275573926e-05,10.069939163,0.00576318908896,0.00230076319456,0.0,-0.00194545180061,0.00578797080031,2.32969231862,-0.0275043046351,0.0154799022617,0.0,899.352611512,-899.956564559,-900.656763328,899.566592162
0.12000000000000001,-0.00038186886221,0.00123296399319,10.2790350618,0.0232463691948,0.00466721014591,0.0,-0.0106543233472,0.039605504067,4.63382204972,-0.0766249887235,0.027495076967,0.0,899.827517294,-900.22323201,-901.087943578,899.19027517
0.18,-0.00145211788237,0.00572613522943,10.6247738227,0.0313017016454,0.00656679288995,0.0,-0.0258045435871,0.113368093832,6.88010854746,-0.11679649662,0.0206294767089,0.0,900.077760006,-899.642622592,-901.04243886,899.571152847
0.23999999999999996,-0.00358637755203,0.0150675208788,11.1028490026,0.027375748876,0.00957532836332,0.0,-0.0463771870384,0.196027830472,9.04134051998,-0.137239249505,0.0340782525303,0.0,899.905163009,-900.227255402,-900.414920231,899.803056953
0.3,-0.00717876971123,0.0288944899617,11.707449116,0.0191850720936,0.0129488227743,0.0,-0.0744400383413,0.261240729016,11.0944957168,-0.140831605633,0.045587563686,0.0,899.978216322,-900.159853592,-900.016366132,900.146727704
0.36000000000000004,-0.0127486778376,0.0459286790722,12.4315075829,0.0119107115263,0.0220528316156,0.0,-0.114168099216,0.303547018815,13.0208739713,-0.153932851011,0.072069417288,0.0,899.703813886,-900.433157906,-900.123764482,899.927209567
0.4200000000000001,-0.0212920455531,0.0649186667066,13.2669717864,0.00575433811557,0.030650228443,0.0,-0.173009654719,0.327114960139,14.8064595358,-0.174374106158,0.0935583052246,0.0,900.000795277,-900.474379267,-899.848935796,899.407553228
0.48000000000000015,-0.0338498384893,0.0848242158326,14.2051398371,6.28008777997,0.0396767351671,0.0,-0.247748595084,0.333439236518,16.4435789229,-0.189502867452,0.112644226618,0.0,900.03847526,-900.365809391,-899.56453567,899.3857564
0.5400000000000001,-0.0513223840319,0.104520358712,15.2369843496,6.27074708857,0.0490825607972,0.0,-0.336570894583,0.320309361496,17.9289524533,-0.175074027134,0.129320921185,0.0,899.846279501,-900.031881391,-898.838689442,899.902499249
0.6000000000000002,-0.0745442807576,0.122888611457,16.3534823769,6.2603939432,0.0631437148349,0.0,-0.440309478533,0.289306536198,19.2658504357,-0.171915957327,0.155654240754,0.0,899.786241794,-900.323278224,-899.089008933,899.74013568
0.6600000000000003,-0.104512504111,0.138889210857,17.5458649877,6.25007259018,0.0737390230344,0.0,-0.560078149895,0.241806784721,20.459424134,-0.172726982986,0.166805697762,0.0,900.063673456,-899.951900617,-899.40489094,899.933074574
0.7200000000000003,-0.14197387542,0.151656457927,18.805733025,6.24416673099,0.0877103762841,0.0,-0.690573289109,0.183021680951,21.5166309918,-0.19707832129,0.187453627452,0.0,900.009343667,-900.250937247,-899.717660625,899.324199816
0.7800000000000004,-0.187727306822,0.160761096313,20.1251768117,6.23973782824,0.111479690583,0.0,-0.83837233847,0.120228156198,22.4468184752,-0.228088471198,0.225039337497,0.0,899.437045487,-900.340358098,-900.024439523,899.385550318
0.8400000000000004,-0.243089176932,0.166044422479,21.4969178265,6.2354670177,0.132915270988,0.0,-1.00983077646,0.0557630053917,23.261516045,-0.262918380754,0.254720265519,0.0,899.783413569,-900.348880855,-900.064978921,899.289284072
0.9000000000000005,-0.309281510255,0.167486380841,22.9143460519,6.23895736574,0.152566189185,0.0,-1.19863936975,-0.00619042070272,23.9712742967,-0.312214188424,0.276449530886,0.0,900.281027597,-900.509067889,-900.054951015,898.704182779
0.9600000000000005,-0.387213037871,0.165457288656,24.3714895903,6.23867860429,0.17198910894,0.0,-1.40087780933,-0.0608155667734,24.5870288635,-0.360487689874,0.293740465282,0.0,900.096933202,-900.132031601,-900.412108118,899.107347893
1.0200000000000005,-0.477626526307,0.160231089846,25.8630149546,6.23457645815,0.189706827308,0.0,-1.61425001141,-0.113489064291,25.1188887043,-0.407565108233,0.296120595037,0.0,900.262416691,-899.681163632,-900.378842636,899.121290502
1.0800000000000005,-0.58110987313,0.151795175859,27.3842007111,6.22817509652,0.207514511038,0.0,-1.83649708339,-0.16816585718,25.5771572419,-0.455325313899,0.297460733415,0.0,900.061713373,-899.424894881,-900.537383534,899.246665586
1.1400000000000006,-0.698201327265,0.139976673937,28.9309724846,6.22286143253,0.225361615916,0.0,-2.06782374037,-0.226014844774,25.9729696967,-0.507928939683,0.297492154833,0.0,900.429063881,-899.727509501,-900.857130628,899.359431222
1.2000000000000006,-0.829432637898,0.12456758669,30.4997757067,6.20803836621,0.243221796385,0.0,-2.30789356753,-0.289300976378,26.3128720525,-0.55248739982,0.297974981942,0.0,900.31408278,-899.620749459,-900.804059159,899.616052622
1.2600000000000007,-0.975345177523,0.10500488903,32.0875174944,6.19191005593,0.261098101648,0.0,-2.55725470357,-0.364574264472,26.6053001865,-0.598900273436,0.297903346118,0.0,900.257681195,-899.533759285,-900.980555718,899.699863251
1.3200000000000007,-1.13651682829,0.0804962661871,33.6915668004,6.1662859629,0.279415297859,0.0,-2.81678352641,-0.455575590946,26.8576562002,-0.635297651499,0.304095648408,0.0,900.23811769,-899.761837851,-900.78814731,899.892392181
